"Category","Name","Description","Value ","Default Value"
Sheetmetal,smt_drive_tools_by_parameters,Drives the Sheetmetal options and values by feature-level relations to Sheetmetal parameters.,"yes, no",yes
Sheetmetal,smt_form_abort_on_fail_plc,Yes - will always fail the Sheetmetal Form feature if there is a problem with its placement .,"yes, no",no
Sheetmetal,smt_mp_method,MASS - Suppressed Flat Pattern and Flatten Forms will be temporary resumed before mass properties calculation of sheetmetal part. CG - Mass Properties calculation will be performed on current state of sheetmetal part.  BOTH - Both methods will be used one after the other.,"both, mass, cg",cg
Sheetmetal,smt_outside_mold_lines,Yes - Outside Mold Lines will be created during Flat Pattern creation.,"yes, no",no
Drawing,snap_drw_entity_to_snap_line,Yes - Enable snapping of drawing and report entities to snap lines. No - Disable snapping of drawing and report entities to snap lines.,"yes, no",yes
Without category,snap_single_constraints,"When dynamically dragging components during component placement, allow to snap to references one constraint at a time.","yes, no",yes
Assembly,snap_to_constraints_during_drag,Enables the dynamic snapping to constraints during the dragging of components.,"yes, no",yes
Model Display,spherical_map_size,Size of Spherical map texture image used for environment mapping. Bigger size will have better image quality but will be slow to regenerate.,"256x256, 512x512, 1024x1024",256x256
Environment,spin_center_display,Determines whether or not the spin center symbol displays.,"yes, no",yes
Model Display,spin_rate_zoom_sensitive,Allows slower spinning when zoomed in on a model.,"yes, no",no
Model Display,spin_with_notes,Yes - 3D feature and model notes are displayed during dynamic spinning of a model.,"yes, no",yes
Without category,spin_with_orientation_center,Display orientation center while reorienting.,"yes, no",yes
Model Display,spin_with_part_entities,Yes - Datum features will be displayed during dynamic spinning of a model.,"yes, no",no
Model Display,spin_with_silhouettes,Yes - Silhouette lines will be displayed during dynamic spinning of a model.,"yes, no",no
Environment,start_appmgr,Determines whether or not the application manager starts when Creo Parametric is started.,"yes, no",yes
File Storage & Retrieval,start_model_dir,Provides the complete path to the directory containing start parts and assemblies.,,
Environment,startup_check_for_visualization,Determines whether or not the visualization components are checked for installation upon startup.,"yes, no",yes
Creo Simulate,std_nastran_template,Sets the file path of a NASTRAN deck template. Use full path to avoid problems.,,
Data Exchange,step_appearance_layers_groups,"No - Output of Appearances, Layers, and Groups is enabled for STEP standard AP214. Yes - Output of Appearances, Layers, and Groups is enabled for STEP standard AP203.","yes, no",no
Data Exchange,step_export_ap214_asm_def_mode,Toggles the default setting of the File Structure field in the STEP Export dialog box for supported assembly STEP export files.,"single_file, separate_parts_only, separate_all_objects",single_file
Data Exchange,step_export_dwg_views,AS_3D_VIEWS - Export 3-D model geometry with its associative views. AS_3D_VIEWS_ASSOC_DRAFT - Export 3-D model geometry with its associative views and view related annotations. NO - Export only 2-D representations of the 3-D models. This is the default.,"no, as_3d_views, as_3d_views_assoc_draft",no
Data Exchange,step_export_format,Specifies output format when exporting to STEP. AP203_IS - Formats output to ISO 10303 AP203IS format. AP214_CD - Formats output with geometry that meets the specification for the long-term schema for AP214cc1.,"ap203_is, ap202_is, ap209_dis, ap214_is, ap203_e2, ap203_is_ext",ap203_is
Data Exchange,step_out_asm_val_prop,"Export validation information for assemblies to the STEP file for formats ap203_e2, ap214_is","yes, no",no
Data Exchange,step_out_material,"Exports the material definition (name and density) to the STEP file for formats ap203_e2, ap214_is and 203_is_ext","yes, no",no
Data Exchange,step_out_material_as_product,Export the material definition (name and density) to the STEP file as a separate STEP PRODUCT entity,"yes, no",no
Data Exchange,step_out_suppl_geom,"Export datum csys, planes, axes, points to the STEP file for formats ap203_e2, ap214_is","yes, no",no
Manufacturing,store_tool_path_file,Specifies how tool path information is computed. Yes - Tool path information stored in file filename.tph (filename is manufacturing model name). No - Tool path is computed each time manufacturing model is retrieved or parameters are changed.,"yes, no",yes
Style Feature,style_auto_regen_curves,Yes - Enable autoregeneration of curves.,"yes, no",yes
Style Feature,style_auto_regen_shaded_surface,Yes - Enable autoregeneration of shaded surfaces.,"yes, no",yes
Style Feature,style_auto_regen_surface,Yes - Enable autoregeneration of surfaces.,"yes, no",yes
Style Feature,style_connection_arrow_scale,Set scale factor of surface connection arrow. Number should be greater then 0.,,1
Style Feature,style_default_connections,Yes - Add connections to a newly created Style surface.,"yes, no",yes
Style Feature,style_display_grid,Yes - Display grid for active datum plane.,"yes, no",yes
Style Feature,style_grid_spacing,Set the number of lines to display on the grid. Number should be equal or greater than 2.,,5
Without category,style_state_transparency,"Set the value of transparency for components set to ""Transparent"" in style state.  Value must be between 0 and 100.",,70
Style Feature,style_surface_mesh_display,On - Display surfaces mesh. Off - Do not display surfaces mesh. Off When Shaded - Display surfaces mesh except when shaded.,"off, on, off when shaded",off when shaded
Style Feature,style_surface_mesh_quality,Sets the quality of the surface mesh. Values range is between 0.1 to 10.,,1
User Interface,summary_help,Refers to the one-line help Messages that are either displayed or not displayed.,"yes, no",no
Colors,suppress_appearance_message,Suppress the Lightworks appearance conversion notification dialog.,"yes, no",no
User Interface,suppress_dlg_license_expired,"Suppresses ""License expired: List of options and expiration days"" dialog",,7
User Interface,suppress_license_loss_dialog,Yes - Suppresses the 'Regained Floating License' dialog box. No - The 'Regained Floating License' dialog box will display.,"yes, no",no
Drawing,switch_dims_for_notes,Yes - Dimensions will be displayed in their symbolic format during drawing note creation. No - Dimensions will be displayed in drawing notes as numerical values.,"yes, no",yes
Drawing,sym_leader_orient_move_text,"With Pro/DETAIL, automatically regroups weld symbol instances after you move the text.","yes, no",no
Drawing,symbol_instance_palette_file,Specifies the location of the symbol instance palette.,,
Drawing,symbol_palette_input,Controls the display of the special symbol palette during note creation.,"yes, no",yes
Colors,system_background_color,"Defines default graphics area background color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_colors_file,Specifies the system color file. Use the full path name to avoid problems.,,
Colors,system_curves_color,"Defines default curve color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_dimmed_menu_color,"Defines default secondary highlight color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_edge_high_color,"Defines default edge highlight color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_geometry_color,"Defines default color of solid wireframe entities. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_hidden_color,"Defines default color of hidden, wireframe entities. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_highlight_color,"Defines default primary highlight color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Data Exchange,system_iges_header_file,"Inserts specified text file into the Start section of IGES files (refer to user_iges_header_file). When used with user_iges_header_file, the system text appears first.",,
Colors,system_letter_color,"Defines default color of datum tags. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_section_color,"Defines default section color. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
Colors,system_sheetmetal_color,"Defines default color of Sheetmetal parts. The three decimal values specify (in order) percentage of red, green and blue in the resulting color. For example, 0 0 49 specifies a medium blue. Change in session using View>Display Settings>System Colors.",,0.000000 0.000000 0.000000
